year,series,value,unit
2019,denver_total_annual_wage,74737.0,annualized USD
2019,denver_total_employment,459294.0,avg quarterly employment
2019,elpaso_total_annual_wage,51506.0,annualized USD
2019,elpaso_total_employment,231484.0,avg quarterly employment
2020,denver_total_annual_wage,83252.0,annualized USD
2020,denver_total_employment,422832.0,avg quarterly employment
2020,elpaso_total_annual_wage,55666.0,annualized USD
2020,elpaso_total_employment,224448.0,avg quarterly employment
2021,denver_total_annual_wage,89908.0,annualized USD
2021,denver_total_employment,448691.0,avg quarterly employment
2021,elpaso_total_annual_wage,58331.0,annualized USD
2021,elpaso_total_employment,234635.0,avg quarterly employment
2022,denver_total_annual_wage,94627.0,annualized USD
2022,denver_total_employment,486412.0,avg quarterly employment
2022,elpaso_total_annual_wage,61165.0,annualized USD
2022,elpaso_total_employment,243600.0,avg quarterly employment
2023,denver_total_annual_wage,97890.0,annualized USD
2023,denver_total_employment,495812.0,avg quarterly employment
2023,elpaso_total_annual_wage,63830.0,annualized USD
2023,elpaso_total_employment,252247.0,avg quarterly employment
2024,denver_total_annual_wage,104325.0,annualized USD
2024,denver_total_employment,490865.0,avg quarterly employment
2024,elpaso_total_annual_wage,66313.0,annualized USD
2024,elpaso_total_employment,253019.0,avg quarterly employment
